Lfd.-Nr.:;Objektname;BNr.:;Sorte botanisch;Objekt_Nr;Objektname_Zusatz;Baumrevier;Produkt;Sorte deutsch;örtlicher Bezug;HausNr.:;Hausnr Zusatz;Hochwert;Rechtswert;Status Baumstandort;Schadstufe;Pflegekategorie;Datum_Erfassung;Bemerkung;Pflanzjahr;Standalter;Stammanzahl;Stammumfang;Stammdurchmesser;Pflegestufe;letzte_Kontrolle_am;nächste_Regelkontrolle;letzte_Kontrolle_von;Fälldatum;Fällgrund;Baumscheibenfläche;Baumhöhe;Kronendurchmesser;Baumscheibenbreite;Baumscheibenlänge;Baumscheibenradius;Baumscheibenoberfläche;Unterpflanzung;Standort;Einfassung;Wassersack;Giessring
853;Mühsamstraße;35;35 Pyrus calleryana 'Chanticleer' (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Chinesische Wild-Birne;Nr. 23;23;;5819929.421;394622.8972;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.01.18;12.08.19 Wassersack;2018;2;1;21;7;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;2.94;4;1;1.2;2.45;;Rindenmulch;;;;FALSCH;FALSCH
854;Mühsamstraße;36;36 Pyrus calleryana 'Chanticleer' (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Chinesische Wild-Birne;Nr. 21;21;;5819926.192;394615.9422;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.01.18;12.08.19 Wassersack;2018;2;1;19;6;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;3.18;4;1;1.25;2.54;;Rindenmulch;;;;FALSCH;FALSCH
855;Mühsamstraße;37;37 Pyrus calleryana 'Chanticleer' (aktiv);MÜHSAMST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Chinesische Wild-Birne;Nr. 21;21;;5819924.578;394611.0986;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.01.18;12.08.19 Wassersack;2018;2;1;19;6;2 Pflegestufe 2 (Standard);19.07.18;18.07.19;Baier Jana;;;3.16;4;1;1.25;2.53;;Rindenmulch;;;;FALSCH;FALSCH
856;Niederbarnimstraße;28;28 Tilia intermedia 'Pallida' (aktiv);NIEDERBA;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 26;;;;;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;16.08.13;"16.08.2013 Notiz: Stadtbaumkampagne: Pflege bis Okt. 2013
16.08.2013 Notiz: Korrektur: Pflege bis Okt. 2015
Bewässerung 2020";2013;7;1;21;7;2 Pflegestufe 2 (Standard);05.05.20;04.05.21;Engelke Lisa;;;1.5;4;2;;;;Sandfläche;;;;FALSCH;FALSCH
857;Niederbarnimstraße;44;44 Tilia intermedia 'Pallida' (aktiv);NIEDERBA;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 8;;;5819306.069;395410.8841;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;16.08.13;"16.08.2013 Notiz: Stadtbaumkampagne: Pflege bis Okt. 2013
16.08.2013 Notiz: Korrektur: Pflege bis Okt. 2015
Bewässerung 2020";2013;7;1;40;13;2 Pflegestufe 2 (Standard);05.05.20;04.05.21;Engelke Lisa;;;5;6;4;;;;;;Baumscheibe;;FALSCH;FALSCH
858;Niederbarnimstraße;48;48 Tilia intermedia 'Pallida' (aktiv);NIEDERBA;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 11;;;5819256.575;395378.8164;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;16.08.13;"16.08.2013 Notiz: Stadtbaumkampagne: Pflege bis Okt. 2013
16.08.2013 Notiz: Korrektur: Pflege bis Okt. 2015
Bewässerung 2020";2013;7;1;28;9;2 Pflegestufe 2 (Standard);06.05.20;05.05.21;Engelke Lisa;;;10;5;2;;;;;;Baumscheibe;;FALSCH;FALSCH
859;Niederbarnimstraße;12. Jan;12/1 Tilia intermedia 'Pallida' (aktiv);NIEDERBA;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;;;;;;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;18.11.15;;2015;5;1;25;8;2 Pflegestufe 2 (Standard);05.05.20;04.05.21;Engelke Lisa;;;;3;1;;;;Wegedecke versiegelt;;;;FALSCH;FALSCH
860;Oderstraße;38;38 Tilia intermedia 'Pallida' (aktiv);ODERSTRA;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 14. Ecke Jungstraße;14;;5819075.112;395925.4958;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;23.01.15;;2015;5;1;25;8;2 Pflegestufe 2 (Standard);29.04.20;28.04.21;Engelke Lisa;;;;5;2;;;;Wegedecke versiegelt;;;;FALSCH;FALSCH
861;Oderstraße;41;41 Tilia intermedia 'Pallida' (aktiv);ODERSTRA;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 16;;;5819047.504;395949.2134;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;04.12.13;"04.12.2013 Notiz: Stadtbaumkampagne: Pflege bis Okt. 2015
Bewässerung 2020";2013;7;1;31;10;2 Pflegestufe 2 (Standard);29.04.20;28.04.21;Engelke Lisa;;;3.5;7;4;;;;;;Baumscheibe;;FALSCH;FALSCH
862;Oderstraße;48;48 Tilia intermedia 'Pallida' (aktiv);ODERSTRA;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 20;;;5818997.113;396033.3788;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;04.12.13;"04.12.2013 Notiz: Stadtbaumkampagne: Pflege bis Okt. 2015
Bewässerung 2020";2013;7;1;25;8;2 Pflegestufe 2 (Standard);29.04.20;28.04.21;Engelke Lisa;;;3;6;3;;;;;;Baumscheibe;;FALSCH;FALSCH
