tree_id,time,uuid,amount,timestamp,username
_ilkoukfis,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_pn1pma9ei,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_kuyt1f4tq,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_kw6hwzaoj,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_eleio3x20,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_004f6vx8a,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_xt2834865,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_32t75xgwk,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_i24ups5ai,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_drjyyad2m,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_bk1gx6ge6,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_wnzijljx9,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_wr9545z0h,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_q3ibpbytw,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_inijyp4pe,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_x8blhfh6o,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_8lqryhu1t,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_f32071mra,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_0lugeaowl,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_jbpfcugvd,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_5419hr5os,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_kgfqdmpif,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_564z74295,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_lyup1lc4w,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_sne7lo913,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_avywjzp04,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_a206otv5r,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_k7orzitro,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_lck0uw3jy,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ajkvu3fan,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_7sq50gitl,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_c2r2rb67u,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_lwg9vqghl,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_k3axext7s,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_bgxj05v5p,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_rbwy99zn0,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_n9w1ivoko,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_jg3kr5foo,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_zaihyi26a,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_nctu63dpk,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_258lzmjqe,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_qoai67t1s,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_qmtizx4yb,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_65s2k3mrb,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_3no48wbpc,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_5zissc6hi,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_sm5idmttj,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_mhsz3wmwu,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_pzpusptq1,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_bamuu3ytd,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ar60p7myf,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_5tkpcmnbb,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_jmqmmlyom,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ryrqlgksn,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_i07zu0awl,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_qv8mrvmjh,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_fjb1ratao,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_cah51nov7,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ymc9yslfg,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_nmlvsezrd,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_r8nhuytg9,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_yoazeztjo,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_sxe6qvhcj,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_iq4jmc4wz,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_65p0rxhj9,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_s5x67pqn5,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_n8qdrbaos,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_bo226wbgm,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_63s3wzg3n,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_3wershkfx,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_zzole8bhw,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_h447vqw7z,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_f2x05vcmm,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_jg8jzw8bm,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_h1dohoy7d,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_spain41xx,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_w8pfp7yqa,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_8umxdn96c,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_82a9b8rjl,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_j44j5icrj,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_p4jc3srf2,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_sexzzunuj,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_2vxjnzmy7,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_6zsv1w63d,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_f4umweasn,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
